Sponsor_raw,Sponsor_clean,Sponsor_type
University Hospital Muenster,University Hospital Muenster,Hospital / medical center
Parc de Salut Mar,Parc de Salut Mar,Hospital / medical center
ETOP IBCSG Partners Foundation,ETOP IBCSG Partners Foundation,Cooperative group / network
Pierre Fabre Medicament,Pierre Fabre Medicament,Industry
Korea University Anam Hospital,Korea University Anam Hospital,Hospital / medical center
XIANG YANQUN,XIANG YANQUN,Individual
Hamilton Health Sciences Corporation,Hamilton Health Sciences,Hospital / medical center
Amgen,Amgen,Industry
"Allist Pharmaceuticals, Inc.",Allist Pharmaceuticals,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Sun Yat-sen University,Sun Yat-sen University,Academic
Johnson & Johnson Taiwan Ltd,Johnson & Johnson Taiwan,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Napp Pharmaceuticals Limited,Napp Pharmaceuticals,Industry
UNICANCER,UNICANCER,Cooperative group / network
Institut Paoli-Calmettes,Institut Paoli-Calmettes,Research institute / foundation
Woman's,Woman's,Other / unknown
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Takara Bio Inc.,Takara Bio Inc.,Industry
Gruppo Oncologico Italiano di Ricerca Clinica,Gruppo Oncologico Italiano di Ricerca Clinica,Cooperative group / network
Seoul National University Hospital,Seoul National University Hospital,Hospital / medical center
Danish University of Pharmaceutical Sciences,Danish University of Pharmaceutical Sciences,Academic
Seoul National University Hospital,Seoul National University Hospital,Hospital / medical center
Jørgen Bjerggaard Jensen,Jørgen Bjerggaard Jensen,Individual
"Rigshospitalet, Denmark",Rigshospitalet,Hospital / medical center
SOTIO a.s.,SOTIO a.s.,Industry
University of Pennsylvania,University of Pennsylvania,Academic
Emory University,Emory University,Academic
European Lung Cancer Working Party,European Lung Cancer Working Party,Cooperative group / network
ImmuneOnco Biopharmaceuticals (Shanghai) Inc.,ImmuneOnco Biopharmaceuticals Inc.,Industry
Marco Lorenzo Bonu,Marco Lorenzo Bonu,Individual
Professor David Cunningham,David Cunningham,Individual
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.","Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Industry
medac GmbH,medac GmbH,Industry
"Suzhou Suncadia Biopharmaceuticals Co., Ltd.","Suzhou Suncadia Biopharmaceuticals Co., Ltd.",Industry
Tongji Hospital,Tongji Hospital,Hospital / medical center
OSI Pharmaceuticals,OSI Pharmaceuticals,Industry
"Mabscale, LLC","Mabscale, LLC",Industry
Shanghai JMT-Bio Inc.,Shanghai JMT-Bio Inc.,Industry
The Second People's Hospital of GuangDong Province,The Second People's Hospital of Guangdong Province,Hospital / medical center
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Gruppo Italiano Malattie EMatologiche dell'Adulto,Gruppo Italiano Malattie Ematologiche dell'Adulto,Cooperative group / network
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
David D'Andrea,David D'Andrea,Individual
Juravinski Cancer Centre Foundation,Juravinski Cancer Centre Foundation,Research institute / foundation
Trans Tasman Radiation Oncology Group,Trans Tasman Radiation Oncology Group,Cooperative group / network
Lin Chen,Lin Chen,Individual
Rain Oncology Inc,Rain Oncology Inc,Industry
"Daehwa Pharmaceutical Co., Ltd.","Daehwa Pharmaceutical Co., Ltd.",Industry
Fox Chase Cancer Center,Fox Chase Cancer Center,Hospital / medical center
Incyte Corporation,Incyte Corporation,Industry
Gao-jun Teng,Gao-jun Teng,Individual
The Lymphoma Academic Research Organisation,The Lymphoma Academic Research Organisation,Cooperative group / network
Erasmus Medical Center,Erasmus Medical Center,Hospital / medical center
Haruhiko Fukuda,Haruhiko Fukuda,Individual
"Beijing Mabworks Biotech Co., Ltd.","Beijing Mabworks Biotech Co., Ltd.",Industry
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.","Johnson & Johnson Pharmaceutical Research & Development, LLC",Industry
Jonsson Comprehensive Cancer Center,Jonsson Comprehensive Cancer Center,Hospital / medical center
Corey Hawes,Corey Hawes,Individual
University Hospital Schleswig-Holstein,University Hospital Schleswig-Holstein,Hospital / medical center
"3D Medicines (Sichuan) Co., Ltd.","3D Medicines Co., Ltd.",Industry
"Jiangsu HengRui Medicine Co., Ltd.","Jiangsu HengRui Medicine Co., Ltd.",Industry
Asan Medical Center,Asan Medical Center,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Zhou Chengzhi,Zhou Chengzhi,Individual
Sun Yat-sen University,Sun Yat-sen University,Academic
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Kaiser Permanente,Kaiser Permanente,Hospital / medical center
"Taiho Oncology, Inc.",Taiho Oncology,Industry
"TG Therapeutics, Inc.",TG Therapeutics,Industry
University of Sao Paulo General Hospital,University of Sao Paulo General Hospital,Hospital / medical center
Vastra Gotaland Region,Vastra Gotaland Region,Government / public agency
Huai'an First People's Hospital,Huai'an First People's Hospital,Hospital / medical center
Jazz Pharmaceuticals,Jazz Pharmaceuticals,Industry
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
VA Office of Research and Development,VA Office of Research and Development,Government / public agency
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Weprom,Weprom,Other / unknown
Telix Pharmaceuticals (Innovations) Pty Limited,Telix Pharmaceuticals,Industry
Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,Industry
Wuerzburg University Hospital,Wuerzburg University Hospital,Hospital / medical center
Universidade Federal de Goias,Universidade Federal de Goias,Academic
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
University Hospital Birmingham,University Hospital Birmingham,Hospital / medical center
Mario Negri Institute for Pharmacological Research,Mario Negri Institute for Pharmacological Research,Research institute / foundation
Seth Gordhandas Sunderdas Medical College,Seth Gordhandas Sunderdas Medical College,Academic
Novartis,Novartis,Industry
The First Affiliated Hospital of Henan University of Science and Technology,The First Affiliated Hospital of Henan University of Science and Technology,Hospital / medical center
Gilead Sciences,Gilead Sciences,Industry
"Spectrum Pharmaceuticals, Inc",Spectrum Pharmaceuticals,Industry
Pharmacyclics LLC.,Pharmacyclics,Industry
"St. Joseph's Hospital and Medical Center, Phoenix",St. Joseph's Hospital and Medical Center,Hospital / medical center
EBMT Solid Tumors Working Party,EBMT Solid Tumors Working Party,Cooperative group / network
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
"Seagen, a wholly owned subsidiary of Pfizer",Seagen,Industry
BeBetter Med Inc,BeBetter Med Inc,Industry
SINA Health Education and Welfare Trust,SINA Health Education and Welfare Trust,Other / unknown
"University College, London",University College London,Academic
Innovent Biologics (Suzhou) Co. Ltd.,Innovent Biologics,Industry
University of Southampton,University of Southampton,Academic
Gruppo Italiano Malattie EMatologiche dell'Adulto,Gruppo Italiano Malattie Ematologiche dell'Adulto,Cooperative group / network
Virginia Commonwealth University,Virginia Commonwealth University,Academic
"Charite University, Berlin, Germany",Charite University,Academic
Daiichi Sankyo,Daiichi Sankyo,Industry
Ente Ospedaliero Ospedali Galliera,Ente Ospedaliero Ospedali Galliera,Hospital / medical center
Mingzhi Zhang,Mingzhi Zhang,Individual
Boehringer Ingelheim,Boehringer Ingelheim,Industry
"Ahon Pharmaceutical Co., Ltd.",Ahon Pharmaceutical,Industry
AdventHealth,AdventHealth,Hospital / medical center
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
CStone Pharmaceuticals,CStone Pharmaceuticals,Industry
GlaxoSmithKline,GlaxoSmithKline,Industry
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Hospital / medical center
Biocad,Biocad,Industry
Radiation Therapy Oncology Group,Radiation Therapy Oncology Group,Cooperative group / network
University of Guelph,University of Guelph,Academic
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
"Kyowa Kirin China Pharmaceutical Co., Ltd.",Kyowa Kirin China Pharmaceutical,Industry
Radboud University Medical Center,Radboud University Medical Center,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Gruppo Italiano Malattie EMatologiche dell'Adulto,Gruppo Italiano Malattie Ematologiche dell'Adulto,Cooperative group / network
West China Hospital,West China Hospital,Hospital / medical center
Celgene,Celgene,Industry
Tianjin Medical University Cancer Institute and Hospital,Tianjin Medical University Cancer Institute and Hospital,Hospital / medical center
Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Pharmacyclics LLC.,Pharmacyclics,Industry
Amgen,Amgen,Industry
Novartis,Novartis,Industry
Fundacion para la Formacion e Investigacion Sanitarias de la Region de Murcia,Fundacion para la Formacion e Investigacion Sanitarias de la Region de Murcia,Research institute / foundation
"Institute of Cancer Research, United Kingdom",Institute of Cancer Research,Research institute / foundation
Chonnam National University Hospital,Chonnam National University Hospital,Hospital / medical center
Fudan University,Fudan University,Academic
MacroGenics,MacroGenics,Industry
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Siobhan Trotter,Siobhan Trotter,Individual
Barretos Cancer Hospital,Barretos Cancer Hospital,Hospital / medical center
Poitiers University Hospital,Poitiers University Hospital,Hospital / medical center
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Ono Pharmaceutical Co. Ltd,Ono Pharmaceutical,Industry
Tanta University,Tanta University,Academic
Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Academisch Medisch Centrum - Universiteit van Amsterdam,Hospital / medical center
"University Hospital, Basel, Switzerland",University Hospital Basel,Hospital / medical center
LanZhou University,Lanzhou University,Academic
wei bo,wei bo,Individual
Lady Davis Institute,Lady Davis Institute,Research institute / foundation
Eli Lilly and Company,Eli Lilly and Company,Industry
Murdoch Childrens Research Institute,Murdoch Childrens Research Institute,Research institute / foundation
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
Sun Yat-sen University,Sun Yat-sen University,Academic
Southern Italy Cooperative Oncology Group,Southern Italy Cooperative Oncology Group,Cooperative group / network
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Sosei,Sosei,Industry
Lavilabor Natural Products Ltd,Lavilabor Natural Products,Industry
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Eisai Inc.,Eisai,Industry
Emory University,Emory University,Academic
Norwegian Department of Health and Social Affairs,Norwegian Department of Health and Social Affairs,Government / public agency
University of Aarhus,University of Aarhus,Academic
"Shandong New Time Pharmaceutical Co., LTD",Shandong New Time Pharmaceutical,Industry
Ruijin Hospital,Ruijin Hospital,Hospital / medical center
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Istituto Nazionale per lo Studio e la Cura dei Tumori,Istituto Nazionale per lo Studio e la Cura dei Tumori,Research institute / foundation
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Hospital / medical center
AstraZeneca,AstraZeneca,Industry
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Mansoura University,Mansoura University,Academic
North Eastern German Society of Gynaecological Oncology,North Eastern German Society of Gynaecological Oncology,Other / unknown
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
"NantCell, Inc.","NantCell, Inc.",Industry
"Gustave Roussy, Cancer Campus, Grand Paris",Gustave Roussy,Research institute / foundation
AstraZeneca,AstraZeneca,Industry
Abington Memorial Hospital,Abington Memorial Hospital,Hospital / medical center
Samsung Medical Center,Samsung Medical Center,Hospital / medical center
"Novita Pharmaceuticals, Inc.","Novita Pharmaceuticals, Inc.",Industry
The First Affiliated Hospital with Nanjing Medical University,The First Affiliated Hospital with Nanjing Medical University,Hospital / medical center
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Wendie Berg,Wendie Berg,Individual
Fudan University,Fudan University,Academic
Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Hospital / medical center
Haruhiko Fukuda,Haruhiko Fukuda,Individual
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
AstraZeneca,AstraZeneca,Industry
"H. Jaap Bonjer, PhD","H. Jaap Bonjer, PhD",Individual
Fudan University,Fudan University,Academic
"Xuanzhu Biopharmaceutical Co., Ltd.","Xuanzhu Biopharmaceutical Co., Ltd.",Industry
Jin Feng,Jin Feng,Individual
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Mansoura University,Mansoura University,Academic
Radiation Therapy Oncology Group,Radiation Therapy Oncology Group,Cooperative group / network
Barretos Cancer Hospital,Barretos Cancer Hospital,Hospital / medical center
